Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
37,99,99,9,FALSE,4,0,3/12/2025 11:42:12 AM,FALSE,0,1,21,85.5,5583,,4,41,3/12/2025 1:15:15 PM,FALSE,0,0,69AA12E0,21,0,16,GF,99/99,1010,1010,Teric
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar,
0,0,0,0,0,0.32,0,0,0,1,0,28,FALSE,FALSE,0,0,0,0,0,3.99,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__,¤ì_ë¹__ì§ __,0,0,0,
10,3.4,0,1,0.42,0.32,0,0,99,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
20,4.9,0,1,0.46,0.32,0,0,99,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
30,6.2,0,1,0.51,0.32,0,0,99,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
40,6.9,0,1,0.54,0.32,0,0,99,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
50,7.8,0,1,0.56,0.32,0,0,99,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
60,8.900001,0,1,0.6,0.32,0,0,99,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
70,9.6,0,1,0.62,0.32,0,0,99,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
80,10.8,0,1,0.65,0.32,0,0,99,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
90,12.7,0,2,0.72,0.32,0,0,99,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
100,15.1,0,2,0.79,0.32,0,0,99,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
110,17.2,0,2,0.86,0.32,0,0,99,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
120,19.2,0,2,0.92,0.32,0,0,87,1,0,28,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
130,21,0,3,0.98,0.32,0,0,69,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
140,22.4,0,3,1.03,0.32,0,0,58,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
150,22.9,0,3,1.05,0.32,0,0,53,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
160,24,0,3,1.08,0.32,0,0,49,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
170,25.9,0,3,1.14,0.32,0,0,40,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
180,27.8,0,3,1.2,0.32,0,0,34,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
190,30,0,3,1.27,0.32,0,0,28,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
200,31.9,0,4,1.33,0.32,0,0,24,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
210,33.9,0,4,1.39,0.32,0,0,20,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
220,35.4,0,4,1.45,0.32,0,0,18,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
230,36,0,4,1.47,0.32,0,0,17,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
240,36.5,0,4,1.48,0.32,0,0,16,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
250,37,0,4,0.61,0.13,0,0,7,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
260,38.5,0,4,0.63,0.13,0,0,6,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
270,39.5,0,4,0.64,0.13,0,0,6,1,0,27,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
280,40.6,0,5,0.66,0.13,0,0,5,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
290,42.4,0,5,0.68,0.13,0,0,4,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
300,44.2,0,5,0.7,0.13,0,0,4,1,0,27,FALSE,FALSE,0,0,0,0,0,4.01,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
